task_id,priority,task_group,target_path,current_coverage_display,match_status,source_columns,task_type,suggested_source,owner_role,owner,status,due_batch,reason,acceptance_criteria,notes
199-BF-001,P0,报考条件字段,junior_college_allowed,27.50%,auto,是否接受大专报考,人工确认,院校招生简章、专业目录、研招网备注、学校研究生院官网,教研/数据同事,待分配,todo,2026-05-data-cleaning,是否接受大专报考是用户路径判断和测一测推荐的重要限制条件。,字段值统一为 是/否/需条件/未确认；未确认不得默认写否。,
199-BF-002,P0,地域基础字段,province,6.77%,auto,地区,补齐/查表,学校名称-省份对照表、研招网学校库、现有云贵川渝清单、学校官网,数据同事,待分配,todo,2026-05-data-cleaning,省份是小程序第二筛选维度，也是推荐策略的基础过滤字段。,所有记录 province 不为空；同一学校省份一致；省份值使用标准省级行政区名称。,
199-BF-003,P0,学校编码字段,school_code,6.77%,auto,学校代码,补齐/查表,研招网院校库、全量院校表研招网主表部分、学校代码公开表,数据同事,待分配,todo,2026-05-data-cleaning,学校代码用于 school_id、去重、后续数据更新和 code/name/label 规则。,能查到研招网代码的学校必须补齐；无法确认时保留空值并标记 needs_review，不允许臆造代码。,
199-BF-004,P1,上课安排字段,class_time,76.24%,auto,上课方式,补齐/标准化,MBA大师详情库、学校招生简章、项目官网,数据同事,待分配,todo,2026-05-data-cleaning,上课方式直接影响在职用户选择，是前台一期核心字段。,覆盖率提升到 90% 以上；保留原文，同时可派生 周末/集中/平时/线上 等标签。,
199-BF-005,P1,院系编码字段,department_code,6.77%,auto,院系,补齐/查表,研招网招生专业目录、院校招生目录、全量院校表研招网主表部分,数据同事,待分配,todo,2026-05-data-cleaning,院系代码有利于招生目录更新对齐，但一期前台可以先展示院系名称。,有研招网院系编号则补齐 department_code；无编号时 department_name 和 department_label 必须保留，department_code 可为空。,
199-BF-006,P1,录取分析字段,first_choice_admission_by_year.2025.score_band_analysis,99.25%,partial,录取分析、分数段统计,二次解析,录取分析、分数段统计、录取名单、MBA大师分数段库,教研/数据同事,待分配,todo,2026-05-data-cleaning,这是后续推荐策略、风险提示和案例对比的重要输入。,先保留原文；后续拆分复试人数、录取人数、复录比、录取率、分数段。,可保留深度文本，但复试人数、录取人数、复录比等结构化字段需要解析或人工确认。
199-BF-007,P1,专项计划字段,minority_backbone_plan,6.77%,auto,少民计划,人工确认/文本解析,研招网专业目录、招生简章、备注字段,教研/数据同事,待分配,todo,2026-05-data-cleaning,少骨/少干计划影响特殊用户路径和备注展示。,字段值统一为 是/否/未确认；来源备注中提到少骨/少干计划时必须标注来源。,
199-BF-008,P1,复试考情字段,retest_info_by_year.2025.notes,97.12%,partial,复试信息,二次解析,复试信息、学校复试细则、招生学院官网,教研/数据同事,待分配,todo,2026-05-data-cleaning,复试信息覆盖高，但还不是结构化字段，适合二期解析。,先保留 notes 原文；后续拆分 written_exam/interview_content/interview_format/reference_books/score_calculation。,复试内容较完整，但尚未拆成笔试、面试、形式、参考书等字段。
199-BF-009,P1,专项计划字段,retired_soldier_plan,6.77%,auto,退役计划,人工确认/文本解析,研招网专业目录、招生简章、备注字段,教研/数据同事,待分配,todo,2026-05-data-cleaning,专项计划影响部分用户可报考路径，不能简单默认。,字段值统一为 是/否/未确认；来源备注中提到退役计划时必须标注来源。,
199-BF-010,P1,院校标签字段,school_level,41.94%,auto,院校性质、学校标签,规则补齐,现有学校标签、985/211/双一流名单、教育部公开名单,数据同事,待分配,todo,2026-05-data-cleaning,院校标签用于推荐排序、名校认可型策略和前台筛选。,L1 可保留 985/211/双一流/普通等完整标签；同一学校标签一致。,
199-BF-011,P1,院校标签字段,school_level_display,41.94%,derived,院校性质、学校标签,自动推导/复核,由 school_level 规则映射,数据同事,待分配,todo,2026-05-data-cleaning,这是前台展示和筛选字段，需要与老板确认的三个选项一致。,管综前台展示值只使用 985/211/双非；985 优先于 211。,
199-BF-012,P2,调剂录取字段,adjustment_admission_by_year.*.quota,0.00%,manual,,人工补充/另找来源,调剂公告、复试调剂名单、学校研究生院官网、研招网调剂系统公告,教研/数据同事,待分配,todo,2026-05-data-cleaning,全量主表无年度调剂名额，属于策略增强字段，不阻塞一期但对调剂机会型策略很重要。,按年度补 quota/rounds/qualification_line；quota > 0 时 adjustment 应推导为 是。,全量主表只有是否接受调剂，没有年度调剂名额、轮次和复试资格线。
199-BF-013,P2,录取分析字段,admission_rate,2.28%,auto,录取率,二次解析/人工复核,录取情况、分数段统计、MBA大师详情库、院校复试录取名单,教研/数据同事,待分配,todo,2026-05-data-cleaning,录取率用于策略和风险提示，准确性优先于覆盖率。,能够从复试人数和录取人数计算时自动生成；无法确认时保留为空，不要用不可靠文本估算。,
199-BF-014,P2,研究方向字段,direction_code,75.61%,auto,方向,补齐/标准化,研招网专业目录、源表方向字段,数据同事,待分配,todo,2026-05-data-cleaning,方向编号有助于目录对齐，但对一期前台展示不是强阻塞。,方向有编号时保留 direction_code；无编号时允许为空，但 direction 和 direction_label 不得丢失。,
199-BF-015,P2,历史分数线字段,first_choice_admission_by_year.2022.score_line,72.69%,auto,2022分数线,补齐/查表,2022分数线、学校官网、MBA大师详情库,数据同事,待分配,todo,2026-05-data-cleaning,历史分数线支持趋势判断，但一期可先展示最新分数线。,覆盖率提升到 85% 以上；无法确认时标记未确认。,
199-BF-016,P2,历史分数线字段,first_choice_admission_by_year.2023.score_line,77.07%,auto,2023分数线,补齐/查表,2023分数线、学校官网、MBA大师详情库,数据同事,待分配,todo,2026-05-data-cleaning,历史分数线支持趋势判断，但一期可先展示最新分数线。,覆盖率提升到 85% 以上；无法确认时标记未确认。,
199-BF-017,P2,历史分数线字段,first_choice_admission_by_year.2024.score_line,78.71%,auto,2024分数线,补齐/查表,2024分数线、学校官网、MBA大师详情库,数据同事,待分配,todo,2026-05-data-cleaning,历史分数线支持趋势判断，但一期可先展示最新分数线。,覆盖率提升到 85% 以上；无法确认时标记未确认。,
199-BF-018,P3,展示资源字段,logo_url,6.77%,auto,学校Logo,补齐/可后置,研招网学校 logo、学校官网、现有学校Logo字段,运营/数据同事,待分配,todo,2026-05-data-cleaning,展示体验字段，不应阻塞 L1 主数据清洗。,前台需要展示 logo 时再补；不影响一期核心数据发布。,
